gamepk,inning,half,battingteamid,runs,hits,errors,leftonbase,cummulative_score,batting_team_score,batting_team_scores,score_difference
779117,4,0,143,0.0,0,0,3,3.0,3,3.0,3.0
779117,4,1,116,0.0,1,0,1,0.0,0,0.0,-3.0
779117,5,0,143,2.0,1,1,0,5.0,3,3.0,3.0
779117,5,1,116,1.0,2,0,3,1.0,0,0.0,-5.0
779117,6,0,143,1.0,2,0,1,6.0,5,5.0,4.0
779117,6,1,116,3.0,3,0,1,4.0,1,1.0,-5.0
779117,7,0,143,0.0,0,0,0,6.0,6,6.0,2.0
779117,7,1,116,0.0,0,0,0,4.0,4,4.0,-2.0
779117,8,0,143,0.0,1,0,2,6.0,6,6.0,2.0
779117,8,1,116,2.0,3,0,1,6.0,4,4.0,-2.0
779117,9,0,143,0.0,0,0,1,6.0,6,6.0,0.0
779117,9,1,116,1.0,2,0,2,7.0,6,6.0,0.0
778880,1,0,144,0.0,1,0,1,0.0,0,0.0,0.0
778880,1,1,142,0.0,0,0,0,0.0,0,0.0,0.0
778880,2,0,144,0.0,0,0,0,0.0,0,0.0,0.0
778880,2,1,142,0.0,0,0,0,0.0,0,0.0,0.0
778880,3,0,144,1.0,3,0,2,1.0,0,0.0,0.0
778880,3,1,142,0.0,1,0,1,0.0,0,0.0,-1.0
778880,4,0,144,0.0,0,0,0,1.0,1,1.0,1.0
778880,4,1,142,0.0,0,0,0,0.0,0,0.0,-1.0
778880,5,0,144,0.0,0,0,0,1.0,1,1.0,1.0
778880,5,1,142,0.0,0,0,0,0.0,0,0.0,-1.0
778880,6,0,144,0.0,0,1,0,1.0,1,1.0,1.0
778880,6,1,142,2.0,3,0,2,2.0,0,0.0,-1.0
778880,7,0,144,0.0,0,0,1,1.0,1,1.0,-1.0
778880,7,1,142,1.0,1,0,2,3.0,2,2.0,1.0
778880,8,0,144,0.0,0,0,1,1.0,1,1.0,-2.0
778880,8,1,142,0.0,0,1,2,3.0,3,3.0,2.0
778880,9,0,144,0.0,0,0,0,1.0,1,1.0,-2.0
778880,9,1,142,,0,0,0,,3,3.0,2.0
778963,1,0,147,0.0,0,0,0,0.0,0,0.0,0.0
778963,1,1,141,1.0,2,0,1,1.0,0,0.0,0.0
778963,2,0,147,0.0,0,0,1,0.0,0,0.0,-1.0
778963,2,1,141,1.0,1,0,0,2.0,1,1.0,1.0
778963,3,0,147,0.0,0,1,0,0.0,0,0.0,-2.0
